nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
86.47,70.63,88.43,79.72,89.73,SMA_6,Teknik Komputer,3,3.48
85.79,70.95,79.49,74.61,72.84,SMA_29,Teknik Komputer,2,3.54
96.32,71.97,85.38,68.93,75.24,SMA_19,Teknik Komputer,7,3.82
85.76,84.81,91.01,71.42,80.59,SMA_38,Teknik Komputer,2,3.82
92.57,88.01,76.6,79.96,80.31,SMA_43,Teknik Komputer,8,3.71
85.4,77.94,78.75,68.67,82.31,SMA_35,Teknik Komputer,6,3.93
91.62,75.98,90.94,60.68,83.15,SMA_20,Teknik Komputer,8,3.82
83.91,80.71,82.88,74.08,89.61,SMA_44,Teknik Telekomunikasi,1,3.2
83.46,89.06,90.22,74.15,76.52,SMA_23,Teknik Telekomunikasi,5,3.47
88.05,76.87,84.1,81.0,76.41,SMA_15,Teknik Telekomunikasi,6,3.8
83.57,77.77,81.64,75.59,74.12,SMA_12,Teknik Telekomunikasi,5,3.2
81.1,86.15,83.44,78.25,82.17,SMA_34,Teknik Telekomunikasi,2,3.42
83.05,78.17,92.33,77.4,77.58,SMA_14,Teknik Telekomunikasi,6,3.25
83.44,77.8,85.62,66.71,80.73,SMA_6,Teknik Telekomunikasi,3,3.14
89.52,89.57,80.97,73.95,72.85,SMA_42,Teknik Telekomunikasi,4,3.57
81.73,87.43,94.32,65.29,73.89,SMA_26,Teknik Telekomunikasi,7,3.84
80.19,82.4,80.09,77.25,80.25,SMA_36,Teknik Telekomunikasi,3,3.31
80.12,83.63,92.94,74.3,87.92,SMA_49,Teknik Telekomunikasi,2,3.88
81.73,78.54,82.04,78.65,78.36,SMA_24,Teknik Telekomunikasi,4,3.26
92.84,84.37,92.43,79.5,73.36,SMA_33,Teknik Telekomunikasi,8,3.83
89.3,77.82,94.5,83.37,79.98,SMA_17,Teknik Telekomunikasi,1,3.38
81.57,79.99,80.26,66.14,80.07,SMA_12,Teknik Telekomunikasi,5,3.59
91.92,86.09,93.9,77.88,82.35,SMA_44,Teknik Telekomunikasi,7,3.59
89.17,75.78,81.18,82.4,87.36,SMA_44,Teknik Telekomunikasi,3,3.16
92.32,79.15,89.25,75.03,71.17,SMA_12,Teknik Telekomunikasi,7,3.9
82.99,78.72,89.12,75.38,78.32,SMA_1,Teknik Telekomunikasi,5,3.72
85.7,84.16,82.66,65.61,85.01,SMA_35,Teknik Telekomunikasi,8,3.22
91.12,81.76,84.32,73.01,89.23,SMA_29,Teknik Telekomunikasi,8,3.5
79.34,74.64,72.19,78.07,77.7,SMA_29,Teknik Industri,3,3.2
84.71,79.48,80.2,85.32,73.88,SMA_7,Teknik Industri,1,3.52
86.92,78.11,76.92,75.07,75.18,SMA_49,Teknik Industri,6,3.32
83.4,83.53,74.9,88.96,83.23,SMA_35,Teknik Industri,8,3.34
82.75,81.67,81.7,86.37,80.34,SMA_38,Teknik Industri,5,3.19
87.05,70.82,70.32,71.96,75.42,SMA_5,Teknik Industri,7,2.9
84.1,75.54,80.95,80.17,77.8,SMA_5,Teknik Industri,2,3.03
79.88,73.13,70.74,78.34,88.52,SMA_32,Teknik Industri,2,3.57
87.19,75.82,73.51,72.99,82.38,SMA_21,Teknik Industri,1,3.62
75.28,72.87,82.38,79.13,80.97,SMA_23,Teknik Industri,2,3.53
81.3,82.6,72.2,75.02,79.32,SMA_15,Teknik Industri,1,3.21
78.18,80.83,76.01,73.32,87.92,SMA_28,Teknik Industri,7,3.63
81.97,70.26,78.57,73.0,79.01,SMA_47,Teknik Industri,5,3.26
86.91,70.97,74.65,83.16,84.71,SMA_14,Teknik Industri,5,3.63
77.01,74.53,70.44,85.02,88.26,SMA_17,Teknik Industri,6,3.02
82.28,76.44,72.37,76.98,85.13,SMA_33,Teknik Industri,7,3.45
85.34,78.5,75.6,77.04,78.72,SMA_7,Teknik Industri,3,2.91
77.66,71.6,84.62,76.04,71.51,SMA_7,Teknik Industri,3,3.21
85.91,82.67,78.63,82.71,72.78,SMA_7,Teknik Industri,6,3.0
83.13,70.85,76.63,75.54,70.84,SMA_7,Teknik Industri,6,2.99
75.13,80.65,78.53,83.09,88.36,SMA_26,Teknik Industri,8,3.66
80.83,79.43,70.44,87.84,76.3,SMA_40,Sistem Informasi,6,3.7
87.27,65.94,76.14,70.71,91.22,SMA_23,Sistem Informasi,7,3.63
84.65,65.37,65.2,86.17,84.79,SMA_27,Sistem Informasi,6,3.65
86.85,65.07,81.52,75.67,94.85,SMA_49,Sistem Informasi,8,3.72
84.68,70.52,84.44,80.61,78.94,SMA_11,Sistem Informasi,8,3.75
89.89,72.55,73.4,74.37,82.83,SMA_9,Sistem Informasi,6,3.32
88.18,78.11,80.19,82.24,88.56,SMA_39,Sistem Informasi,3,3.28
86.99,83.89,77.66,87.21,94.19,SMA_1,Sistem Informasi,2,3.31
88.73,80.16,75.14,82.19,78.04,SMA_11,Sistem Informasi,7,3.64
87.48,72.18,77.54,72.12,89.27,SMA_47,Sistem Informasi,5,3.74
84.67,81.66,72.11,86.53,76.42,SMA_10,Sistem Informasi,3,3.18
85.5,72.8,74.09,70.74,93.21,SMA_3,Sistem Informasi,3,3.63
76.73,80.83,79.31,80.01,89.59,SMA_39,Sistem Informasi,3,3.06
86.73,76.15,79.77,76.11,90.22,SMA_1,Sistem Informasi,5,3.53
83.86,82.71,84.36,84.49,76.96,SMA_31,Sistem Informasi,3,3.68
85.3,77.76,68.92,73.09,81.98,SMA_25,Sistem Informasi,4,3.02
82.57,79.11,84.94,87.29,78.82,SMA_39,Sistem Informasi,6,3.53
81.62,81.4,78.78,74.66,78.69,SMA_36,Sistem Informasi,1,3.18
84.82,77.62,80.91,75.7,91.86,SMA_4,Sistem Informasi,5,3.67
88.08,75.34,78.98,84.94,88.12,SMA_9,Sistem Informasi,8,3.12
89.08,83.77,75.28,77.24,84.11,SMA_46,Informatika,5,3.38
87.52,89.22,80.1,73.06,73.9,SMA_10,Informatika,5,3.28
97.41,70.67,79.45,83.18,81.09,SMA_47,Informatika,6,3.29
85.86,87.55,85.24,65.39,87.13,SMA_5,Informatika,5,3.42
97.04,87.36,85.47,74.19,86.17,SMA_23,Informatika,2,3.27
85.88,72.63,88.75,75.1,86.27,SMA_24,Informatika,1,3.39
87.4,77.1,87.95,78.5,70.5,SMA_37,Informatika,4,3.55
88.09,79.52,94.77,79.79,87.2,SMA_30,Informatika,3,3.58
92.36,85.0,87.15,74.14,86.42,SMA_33,Informatika,1,3.47
96.64,73.86,85.04,66.18,80.98,SMA_49,Informatika,6,3.42
94.38,77.35,85.25,81.77,79.64,SMA_18,Informatika,5,3.39
86.63,80.07,85.35,83.0,71.36,SMA_29,Informatika,6,3.49
99.12,71.04,90.1,72.95,82.02,SMA_35,Informatika,2,3.89
94.98,81.07,81.4,80.12,86.13,SMA_37,Informatika,1,3.51
95.0,84.49,80.71,72.08,77.94,SMA_45,Informatika,4,3.53
92.18,79.49,90.04,68.31,87.52,SMA_27,Informatika,4,3.31
90.95,86.54,84.28,81.6,89.4,SMA_11,Informatika,6,3.78
93.03,86.5,76.8,73.52,85.11,SMA_5,Informatika,1,3.8
90.78,72.39,83.32,79.9,73.27,SMA_14,Informatika,8,3.73
89.63,80.12,82.07,66.47,87.97,SMA_29,Informatika,2,3.45
91.71,78.54,87.7,74.92,94.95,SMA_28,Rekayasa Perangkat Lunak,6,3.17
94.85,86.68,75.53,78.84,89.48,SMA_5,Rekayasa Perangkat Lunak,3,3.65
84.26,88.65,87.87,72.35,91.39,SMA_5,Rekayasa Perangkat Lunak,1,3.32
89.44,84.23,86.76,81.83,87.56,SMA_28,Rekayasa Perangkat Lunak,7,3.3
83.62,88.62,88.22,72.47,88.87,SMA_4,Rekayasa Perangkat Lunak,7,3.14
80.6,89.55,89.58,67.44,90.05,SMA_45,Rekayasa Perangkat Lunak,6,3.29
94.42,72.96,89.2,78.72,79.44,SMA_26,Rekayasa Perangkat Lunak,5,3.51
81.61,78.45,81.14,72.5,79.56,SMA_20,Rekayasa Perangkat Lunak,3,3.39
94.45,79.22,75.0,78.45,87.4,SMA_23,Rekayasa Perangkat Lunak,8,3.62
92.83,85.37,88.25,79.68,92.94,SMA_26,Rekayasa Perangkat Lunak,8,3.66
93.23,87.42,89.39,82.23,83.66,SMA_3,Rekayasa Perangkat Lunak,1,3.33
90.96,75.33,85.44,67.02,94.88,SMA_40,Rekayasa Perangkat Lunak,7,3.69
88.49,82.93,82.48,72.71,82.65,SMA_16,Rekayasa Perangkat Lunak,6,3.48
91.95,78.75,85.17,73.66,79.74,SMA_25,Rekayasa Perangkat Lunak,8,3.52
85.09,85.62,80.33,79.61,92.73,SMA_5,Rekayasa Perangkat Lunak,5,3.61
87.43,72.93,85.25,66.32,94.3,SMA_30,Rekayasa Perangkat Lunak,3,3.35
84.47,84.76,76.82,84.66,80.23,SMA_34,Rekayasa Perangkat Lunak,3,3.8
89.32,71.54,70.5,80.22,84.53,SMA_39,Rekayasa Perangkat Lunak,6,3.61
86.16,70.91,72.92,68.96,92.99,SMA_25,Rekayasa Perangkat Lunak,4,3.41
87.9,85.47,88.79,71.42,78.96,SMA_24,Rekayasa Perangkat Lunak,3,3.86
85.01,82.29,71.15,72.56,74.95,SMA_25,Sains Data,4,3.86
98.82,72.61,88.47,81.02,80.95,SMA_43,Sains Data,8,3.86
90.76,79.66,87.23,66.38,87.02,SMA_12,Sains Data,4,3.24
86.67,75.39,75.46,72.01,89.02,SMA_11,Sains Data,1,3.3
86.01,72.36,87.89,71.17,74.26,SMA_32,Sains Data,5,3.43
97.91,84.09,82.51,73.14,87.3,SMA_26,Sains Data,3,3.45
90.6,77.38,76.08,70.49,82.67,SMA_6,Sains Data,3,3.52
98.7,85.63,74.75,81.43,73.35,SMA_2,Sains Data,5,3.38
95.8,78.2,85.64,80.89,85.14,SMA_42,Sains Data,7,3.71
95.25,75.98,72.34,78.06,71.98,SMA_27,Sains Data,3,3.25
92.78,86.86,78.99,77.59,83.7,SMA_44,Sains Data,6,3.98
87.06,79.03,79.66,82.49,77.79,SMA_46,Sains Data,2,3.82
97.55,88.17,78.99,73.34,73.47,SMA_29,Sains Data,6,3.83
85.91,76.56,89.96,83.87,85.8,SMA_8,Sains Data,1,3.21
93.82,73.15,72.61,80.91,82.13,SMA_19,Sains Data,6,3.5
96.48,80.8,89.71,77.22,76.68,SMA_26,Sains Data,2,3.74
91.76,85.46,73.83,76.74,89.59,SMA_19,Sains Data,8,3.7
93.63,74.21,85.64,74.29,85.01,SMA_33,Sains Data,5,3.73
97.26,73.87,82.23,84.6,76.69,SMA_16,Sains Data,4,3.71
98.19,72.7,86.33,71.29,89.2,SMA_47,Sains Data,2,3.69
91.9,72.57,65.33,82.84,92.25,SMA_23,Teknologi Informasi,2,3.65
80.22,83.28,65.98,76.55,80.44,SMA_42,Teknologi Informasi,7,3.14
84.11,71.75,83.36,81.76,87.49,SMA_8,Teknologi Informasi,4,3.02
90.37,77.89,74.34,75.31,81.45,SMA_28,Teknologi Informasi,1,3.2
89.93,82.05,67.74,83.96,87.68,SMA_19,Teknologi Informasi,7,3.63
82.0,68.83,73.08,79.4,82.21,SMA_25,Teknologi Informasi,5,3.15
88.27,68.94,71.97,70.61,92.5,SMA_27,Teknologi Informasi,1,3.29
86.92,74.29,82.29,85.44,93.71,SMA_26,Teknologi Informasi,5,3.45
91.9,70.08,65.09,83.96,90.08,SMA_7,Teknologi Informasi,3,3.45
90.0,70.15,70.17,89.12,92.13,SMA_1,Teknologi Informasi,7,3.05
91.25,68.44,65.16,81.29,86.73,SMA_15,Teknologi Informasi,3,3.77
80.49,67.43,69.04,76.9,87.68,SMA_29,Teknologi Informasi,5,3.34
93.66,83.5,76.72,71.86,81.15,SMA_45,Teknologi Informasi,5,3.62
89.63,66.63,71.44,80.49,81.54,SMA_17,Teknologi Informasi,4,3.12
82.19,74.04,69.32,72.47,76.77,SMA_40,Teknologi Informasi,8,3.5
88.99,77.86,77.45,88.37,94.36,SMA_44,Teknologi Informasi,5,3.21
94.29,81.23,69.87,75.27,94.35,SMA_32,Teknologi Informasi,1,3.62
85.11,67.46,77.25,73.42,94.86,SMA_42,Teknologi Informasi,3,3.7
88.6,71.92,82.69,85.85,86.74,SMA_20,Teknologi Informasi,3,3.37
82.31,73.99,81.67,75.86,77.89,SMA_30,Teknologi Informasi,3,3.06
75.78,72.23,76.73,77.21,92.03,SMA_35,Bisnis Digital,4,3.08
83.82,65.64,71.95,82.43,97.1,SMA_20,Bisnis Digital,1,3.03
72.35,69.39,75.52,94.46,98.06,SMA_33,Bisnis Digital,5,3.53
80.57,76.34,65.67,84.57,95.44,SMA_3,Bisnis Digital,8,3.47
71.28,68.94,73.82,81.81,93.36,SMA_47,Bisnis Digital,4,3.3
74.38,66.17,65.23,84.99,90.04,SMA_2,Bisnis Digital,6,2.9
82.27,75.58,79.7,82.77,98.57,SMA_42,Bisnis Digital,5,3.57
79.44,75.5,71.74,84.15,86.35,SMA_11,Bisnis Digital,1,2.87
82.9,66.88,74.42,81.93,98.44,SMA_42,Bisnis Digital,6,3.24
86.64,77.26,69.2,91.56,92.42,SMA_14,Bisnis Digital,3,3.57
86.03,76.59,66.2,80.74,84.14,SMA_37,Bisnis Digital,5,3.0
74.47,74.64,62.96,85.11,85.43,SMA_28,Bisnis Digital,8,2.8
81.87,64.68,77.71,79.72,90.76,SMA_30,Bisnis Digital,6,3.3
75.97,75.09,69.07,84.9,94.36,SMA_5,Bisnis Digital,1,3.17
87.49,78.56,72.45,94.47,80.61,SMA_22,Bisnis Digital,3,3.04
73.05,68.05,68.85,93.41,88.86,SMA_12,Bisnis Digital,3,2.92
87.25,76.12,64.06,94.92,95.66,SMA_9,Bisnis Digital,4,3.04
75.08,68.71,67.97,76.59,98.05,SMA_25,Bisnis Digital,5,2.91
74.23,76.75,71.75,86.59,99.0,SMA_42,Bisnis Digital,1,3.03
77.86,70.19,72.73,79.87,91.12,SMA_4,Bisnis Digital,2,3.16
