nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
87.44,70.49,80.69,79.19,92.49,SMA_14,Sistem Informasi,2,3.55
83.54,69.14,77.79,86.84,85.3,SMA_7,Sistem Informasi,7,3.41
75.95,82.56,81.1,85.38,94.46,SMA_3,Sistem Informasi,1,3.13
75.55,80.14,83.06,71.32,87.04,SMA_47,Sistem Informasi,1,3.3
77.01,65.94,77.35,70.92,79.48,SMA_23,Sistem Informasi,7,3.0
75.21,70.37,84.61,82.42,91.44,SMA_46,Sistem Informasi,6,3.69
76.13,65.44,77.16,76.95,81.9,SMA_43,Sistem Informasi,2,3.07
85.38,74.96,77.73,74.18,81.95,SMA_47,Sistem Informasi,6,3.48
83.02,74.52,76.1,81.59,75.64,SMA_45,Sistem Informasi,4,3.79
86.25,81.63,66.82,76.83,85.97,SMA_18,Sistem Informasi,1,3.43
88.7,71.16,79.53,80.75,85.69,SMA_38,Sistem Informasi,1,3.74
83.78,81.33,75.95,79.2,82.12,SMA_35,Sistem Informasi,5,3.19
85.89,84.36,74.02,81.7,92.88,SMA_15,Sistem Informasi,4,3.61
92.11,74.51,89.46,76.88,88.66,SMA_15,Informatika,5,3.75
90.33,77.31,91.42,72.38,89.82,SMA_47,Informatika,3,3.56
94.73,79.76,89.37,74.09,74.1,SMA_29,Informatika,2,3.77
92.19,87.02,85.7,75.97,77.58,SMA_33,Informatika,1,3.92
93.76,71.76,84.53,75.98,88.53,SMA_30,Informatika,6,3.7
96.05,86.12,91.77,69.03,84.43,SMA_39,Informatika,6,3.63
93.37,71.11,79.1,78.69,70.96,SMA_27,Informatika,5,3.55
93.8,86.85,94.36,66.76,85.63,SMA_36,Informatika,7,3.66
93.47,71.03,89.22,67.78,86.56,SMA_29,Informatika,7,3.48
90.68,70.36,78.99,65.05,85.01,SMA_38,Informatika,4,3.51
90.06,83.94,89.72,67.33,85.99,SMA_33,Informatika,5,3.63
98.49,89.95,85.6,74.46,86.5,SMA_37,Informatika,8,3.25
94.11,87.93,89.14,77.12,73.73,SMA_27,Informatika,4,3.38
88.67,81.52,90.36,80.89,74.71,SMA_33,Informatika,8,3.63
92.47,88.35,76.75,67.13,82.68,SMA_4,Informatika,7,3.55
89.96,70.11,85.12,82.01,88.16,SMA_22,Informatika,5,3.47
99.01,89.5,93.64,79.92,76.32,SMA_2,Informatika,8,3.78
85.11,79.81,81.41,73.17,81.77,SMA_10,Informatika,5,3.75
87.3,75.12,73.73,76.74,78.69,SMA_47,Rekayasa Perangkat Lunak,6,3.71
86.13,84.52,86.75,65.66,80.99,SMA_37,Rekayasa Perangkat Lunak,5,3.18
91.58,81.86,76.64,83.25,81.2,SMA_3,Rekayasa Perangkat Lunak,6,3.37
80.18,72.04,76.23,69.96,82.95,SMA_33,Rekayasa Perangkat Lunak,7,3.16
88.98,88.38,74.55,76.55,83.54,SMA_28,Rekayasa Perangkat Lunak,7,3.7
88.48,85.8,82.16,68.31,91.0,SMA_47,Rekayasa Perangkat Lunak,8,3.32
90.74,70.46,77.59,65.68,81.99,SMA_8,Rekayasa Perangkat Lunak,2,3.82
88.99,83.03,84.88,71.23,84.36,SMA_34,Rekayasa Perangkat Lunak,7,3.52
92.4,85.42,74.11,80.61,87.5,SMA_35,Rekayasa Perangkat Lunak,2,3.74
94.39,77.49,85.76,70.55,82.55,SMA_32,Rekayasa Perangkat Lunak,7,3.88
85.14,71.38,82.07,69.4,91.73,SMA_24,Rekayasa Perangkat Lunak,1,3.77
83.41,71.55,72.29,69.25,86.75,SMA_14,Rekayasa Perangkat Lunak,7,3.79
86.35,72.08,78.29,75.3,80.88,SMA_32,Rekayasa Perangkat Lunak,5,3.43
84.32,86.81,87.27,84.51,89.28,SMA_46,Rekayasa Perangkat Lunak,3,3.54
89.22,88.21,88.46,74.18,85.55,SMA_43,Rekayasa Perangkat Lunak,8,3.3
93.68,72.46,79.31,76.15,85.69,SMA_16,Rekayasa Perangkat Lunak,5,3.26
82.09,74.72,79.62,82.21,84.62,SMA_4,Rekayasa Perangkat Lunak,3,3.5
81.51,73.31,88.37,75.7,84.94,SMA_37,Rekayasa Perangkat Lunak,4,3.58
94.64,89.71,79.96,72.08,73.24,SMA_41,Sains Data,3,3.28
95.56,79.42,71.34,84.17,86.83,SMA_45,Sains Data,8,3.45
98.66,73.64,78.1,68.69,86.93,SMA_26,Sains Data,8,3.85
94.37,79.7,79.95,66.81,89.1,SMA_47,Sains Data,2,3.97
90.04,80.25,84.4,80.42,73.09,SMA_32,Sains Data,3,3.83
97.38,84.83,72.13,66.36,82.47,SMA_10,Sains Data,7,3.75
90.45,83.98,72.8,81.74,79.48,SMA_16,Sains Data,5,3.62
85.51,78.05,75.27,73.74,76.89,SMA_7,Sains Data,2,3.27
97.46,74.36,75.33,83.31,77.03,SMA_17,Sains Data,7,3.97
90.18,82.9,84.64,79.43,78.26,SMA_23,Sains Data,6,3.81
96.61,78.43,75.01,77.21,84.1,SMA_26,Sains Data,4,3.71
90.44,72.65,82.66,83.99,81.97,SMA_21,Sains Data,7,3.81
97.92,88.01,79.89,72.93,79.19,SMA_22,Sains Data,3,3.78
88.29,83.82,81.47,84.08,71.52,SMA_7,Sains Data,2,3.71
99.62,83.66,86.76,67.7,71.56,SMA_14,Sains Data,3,3.98
96.7,86.45,78.09,74.68,70.05,SMA_15,Sains Data,2,3.92
86.71,80.59,85.42,70.4,89.35,SMA_7,Sains Data,7,3.72
93.49,86.3,78.44,75.8,70.11,SMA_9,Sains Data,1,3.75
89.75,84.81,65.07,82.02,85.37,SMA_29,Teknologi Informasi,5,3.04
85.47,65.0,74.35,88.07,86.95,SMA_3,Teknologi Informasi,3,3.68
88.41,68.71,70.94,89.78,85.5,SMA_40,Teknologi Informasi,5,3.03
87.22,72.68,82.06,84.87,80.2,SMA_34,Teknologi Informasi,1,3.26
93.27,83.65,79.31,71.3,85.3,SMA_40,Teknologi Informasi,5,3.75
87.95,66.4,76.78,78.03,84.82,SMA_27,Teknologi Informasi,2,3.59
86.62,65.19,70.55,86.76,94.93,SMA_13,Teknologi Informasi,4,3.23
86.07,66.05,83.21,74.61,92.95,SMA_45,Teknologi Informasi,7,3.2
88.59,66.77,65.9,86.61,84.27,SMA_33,Teknologi Informasi,3,3.0
92.06,65.75,67.19,72.41,87.46,SMA_6,Teknologi Informasi,6,3.56
88.08,74.6,72.83,70.94,89.96,SMA_24,Teknologi Informasi,4,3.04
89.92,76.62,67.49,77.68,75.7,SMA_19,Teknologi Informasi,7,3.43
91.07,70.43,84.13,70.73,92.9,SMA_16,Teknologi Informasi,5,3.77
87.8,72.97,80.96,89.15,92.2,SMA_40,Teknologi Informasi,3,3.09
86.4,66.83,70.18,86.52,84.15,SMA_28,Teknologi Informasi,5,3.72
93.15,71.73,76.77,86.02,82.82,SMA_33,Teknologi Informasi,2,3.79
86.26,75.45,84.65,82.6,80.46,SMA_48,Teknologi Informasi,1,3.05
86.93,79.65,82.68,74.33,84.53,SMA_41,Teknologi Informasi,3,3.71
87.58,65.67,79.8,91.52,94.92,SMA_47,Bisnis Digital,8,2.97
70.1,60.37,73.52,80.97,84.01,SMA_31,Bisnis Digital,7,3.22
86.4,68.64,68.92,91.8,97.36,SMA_38,Bisnis Digital,8,2.8
74.57,76.8,72.95,90.46,94.3,SMA_32,Bisnis Digital,6,3.34
88.17,67.84,71.89,79.6,91.26,SMA_11,Bisnis Digital,6,3.35
70.02,63.59,67.67,77.63,89.43,SMA_45,Bisnis Digital,4,3.02
81.12,75.07,61.31,92.36,90.86,SMA_25,Bisnis Digital,4,3.3
85.13,75.78,76.43,94.26,83.18,SMA_33,Bisnis Digital,1,3.0
75.17,63.48,67.44,75.63,84.07,SMA_38,Bisnis Digital,2,2.94
73.86,75.42,76.38,89.63,81.82,SMA_41,Bisnis Digital,8,3.39
71.68,78.95,65.05,93.19,83.07,SMA_8,Bisnis Digital,8,3.09
76.53,63.33,60.02,92.15,89.07,SMA_11,Bisnis Digital,2,3.33
81.2,75.42,63.18,94.29,90.61,SMA_22,Bisnis Digital,4,3.19
72.32,74.17,69.37,90.2,80.36,SMA_24,Bisnis Digital,1,3.69
77.53,69.47,78.89,83.85,95.94,SMA_41,Bisnis Digital,2,2.93
70.18,61.16,62.04,81.24,85.88,SMA_17,Bisnis Digital,1,3.22
86.37,61.49,77.08,81.41,98.24,SMA_12,Bisnis Digital,1,3.41
72.57,77.05,70.54,89.49,99.35,SMA_46,Bisnis Digital,1,3.16
