nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
84.93,82.68,82.24,89.39,89.73,SMA_48,Teknik Industri,7,3.53
75.0,83.1,77.12,85.82,84.08,SMA_10,Teknik Industri,2,3.6
85.16,82.99,84.62,89.28,71.37,SMA_34,Teknik Industri,4,3.23
86.56,74.97,82.21,72.49,82.15,SMA_38,Teknik Industri,2,2.92
86.4,77.34,78.65,82.99,82.42,SMA_8,Teknik Industri,7,3.59
89.78,73.29,83.42,83.88,80.91,SMA_40,Teknik Industri,6,3.2
78.85,74.21,76.96,71.89,85.19,SMA_40,Teknik Industri,1,3.07
88.36,75.83,79.5,86.73,78.67,SMA_3,Teknik Industri,7,3.22
81.49,72.84,76.18,89.75,72.16,SMA_11,Teknik Industri,5,3.31
79.96,77.22,75.95,84.34,77.69,SMA_47,Teknik Industri,1,3.69
83.02,74.01,82.57,84.91,83.91,SMA_40,Teknik Industri,4,3.25
86.47,72.64,73.65,89.23,88.43,SMA_45,Teknik Industri,6,2.99
85.81,84.28,81.22,70.97,80.48,SMA_15,Teknik Industri,1,3.22
82.84,72.31,80.6,83.04,85.06,SMA_45,Teknik Industri,1,3.49
89.97,81.47,79.56,86.5,75.96,SMA_45,Teknik Industri,1,3.6
77.56,82.31,78.87,85.46,78.11,SMA_5,Teknik Industri,7,3.59
80.84,82.87,82.49,70.45,84.33,SMA_4,Teknik Industri,3,3.21
84.7,77.68,82.34,76.71,89.23,SMA_42,Teknik Industri,1,2.99
89.07,75.28,72.62,84.89,88.45,SMA_31,Sistem Informasi,8,3.16
84.22,72.29,84.3,72.34,75.36,SMA_22,Sistem Informasi,3,3.55
87.21,69.59,80.66,70.21,80.53,SMA_36,Sistem Informasi,4,3.39
79.81,82.56,75.74,71.79,82.11,SMA_20,Sistem Informasi,4,3.68
77.22,67.52,70.27,81.65,77.5,SMA_19,Sistem Informasi,4,3.06
75.97,67.28,65.68,74.87,81.48,SMA_43,Sistem Informasi,1,3.34
80.76,74.98,81.75,79.66,78.07,SMA_18,Sistem Informasi,2,3.27
78.24,80.5,67.99,70.4,88.53,SMA_33,Sistem Informasi,3,3.79
81.68,83.05,77.06,74.47,77.2,SMA_29,Sistem Informasi,8,3.26
76.62,69.84,84.94,78.54,75.39,SMA_22,Sistem Informasi,4,3.76
75.43,81.27,83.52,82.03,77.29,SMA_7,Sistem Informasi,8,3.32
75.23,68.61,72.07,78.15,76.95,SMA_8,Sistem Informasi,1,3.62
86.31,77.58,71.9,89.35,88.22,SMA_31,Sistem Informasi,7,3.62
80.71,69.17,83.24,79.2,82.46,SMA_23,Sistem Informasi,7,3.26
76.65,84.79,68.75,82.44,75.77,SMA_45,Sistem Informasi,2,3.38
78.78,78.08,76.39,74.39,79.26,SMA_22,Sistem Informasi,3,3.58
80.32,69.36,71.59,87.86,75.92,SMA_22,Sistem Informasi,4,3.75
89.95,84.16,77.17,86.48,92.98,SMA_36,Sistem Informasi,3,3.73
77.74,74.92,69.81,72.94,85.97,SMA_22,Sistem Informasi,8,3.05
96.47,78.77,85.44,77.17,86.37,SMA_19,Informatika,3,3.46
95.8,83.02,75.64,72.23,89.97,SMA_20,Informatika,6,3.51
87.22,84.75,77.97,73.48,76.79,SMA_6,Informatika,2,3.38
90.88,82.33,86.57,83.79,74.72,SMA_16,Informatika,4,3.21
98.83,74.15,75.62,78.15,82.75,SMA_17,Informatika,8,3.21
89.44,77.42,75.73,72.83,70.52,SMA_15,Informatika,1,3.86
99.94,88.04,78.98,72.5,71.49,SMA_8,Informatika,6,3.47
97.16,73.86,83.5,67.73,85.12,SMA_36,Informatika,4,3.7
98.56,85.0,78.02,82.2,87.41,SMA_9,Informatika,5,3.65
92.11,87.13,85.75,83.05,86.87,SMA_45,Informatika,4,3.54
96.73,85.35,75.91,75.9,80.77,SMA_2,Informatika,3,3.43
87.59,73.6,81.96,79.73,88.11,SMA_41,Informatika,1,3.54
88.38,76.34,82.0,81.02,89.28,SMA_16,Informatika,1,3.58
98.44,88.9,81.21,83.29,82.44,SMA_12,Informatika,7,3.9
94.88,76.4,80.78,75.02,83.47,SMA_47,Informatika,3,3.4
96.27,88.21,84.47,83.76,88.07,SMA_31,Informatika,8,3.27
99.99,85.32,77.8,81.39,85.51,SMA_9,Informatika,7,3.99
98.04,88.98,86.45,67.44,87.6,SMA_41,Informatika,7,3.57
91.49,78.11,88.15,75.2,81.98,SMA_44,Informatika,1,3.79
80.56,89.93,78.59,73.3,93.1,SMA_46,Rekayasa Perangkat Lunak,4,3.72
83.53,72.09,80.82,73.26,75.62,SMA_31,Rekayasa Perangkat Lunak,7,3.43
84.02,78.76,77.75,70.31,93.72,SMA_27,Rekayasa Perangkat Lunak,5,3.32
82.07,73.76,81.13,84.54,82.61,SMA_6,Rekayasa Perangkat Lunak,8,3.86
94.2,89.1,81.7,82.56,89.58,SMA_14,Rekayasa Perangkat Lunak,3,3.27
86.9,76.39,74.52,71.43,75.24,SMA_25,Rekayasa Perangkat Lunak,6,3.15
93.66,71.75,71.21,68.96,91.68,SMA_37,Rekayasa Perangkat Lunak,5,3.14
94.9,83.56,86.08,67.29,87.71,SMA_37,Rekayasa Perangkat Lunak,3,3.53
87.84,74.64,89.48,70.59,77.56,SMA_39,Rekayasa Perangkat Lunak,5,3.15
81.4,78.83,84.54,78.5,89.83,SMA_42,Rekayasa Perangkat Lunak,8,3.26
82.55,83.39,73.08,80.39,79.67,SMA_41,Rekayasa Perangkat Lunak,5,3.37
88.34,70.51,85.48,73.97,91.29,SMA_31,Rekayasa Perangkat Lunak,6,3.3
83.9,70.89,87.84,80.58,78.42,SMA_11,Rekayasa Perangkat Lunak,6,3.39
84.69,76.03,80.19,84.1,92.61,SMA_26,Rekayasa Perangkat Lunak,7,3.14
87.61,84.91,71.96,66.03,88.46,SMA_13,Rekayasa Perangkat Lunak,4,3.26
93.3,81.16,76.82,68.32,80.11,SMA_37,Rekayasa Perangkat Lunak,8,3.26
88.46,71.6,74.0,78.52,94.82,SMA_1,Rekayasa Perangkat Lunak,8,3.65
84.38,71.97,86.15,67.55,94.13,SMA_39,Rekayasa Perangkat Lunak,6,3.19
87.37,77.46,85.43,84.57,75.02,SMA_18,Sains Data,1,3.65
87.3,88.83,88.76,82.44,80.77,SMA_19,Sains Data,1,3.36
92.32,76.38,70.6,77.79,70.36,SMA_3,Sains Data,5,3.48
94.59,87.08,77.32,75.21,80.31,SMA_33,Sains Data,4,3.28
97.8,78.16,81.52,79.32,70.34,SMA_11,Sains Data,4,3.21
98.86,87.63,75.4,71.43,82.25,SMA_48,Sains Data,7,3.53
95.88,88.37,76.1,72.68,83.27,SMA_40,Sains Data,1,3.72
90.08,70.62,75.92,75.4,76.5,SMA_31,Sains Data,3,3.72
91.17,81.35,74.66,67.31,79.74,SMA_47,Sains Data,8,3.26
94.22,87.7,84.56,82.04,86.55,SMA_16,Sains Data,6,3.67
96.2,85.9,74.11,65.7,87.12,SMA_41,Sains Data,1,3.23
92.29,77.97,72.76,73.94,79.99,SMA_28,Sains Data,5,3.82
95.1,82.45,73.8,79.15,87.88,SMA_25,Sains Data,6,3.27
89.58,76.12,86.82,75.19,79.6,SMA_23,Sains Data,1,3.73
87.28,81.89,73.96,79.16,73.48,SMA_37,Sains Data,5,3.9
91.22,79.09,86.54,83.18,72.77,SMA_33,Sains Data,1,3.58
85.72,78.76,83.53,81.36,88.33,SMA_24,Sains Data,1,3.94
90.4,86.8,86.96,71.24,73.63,SMA_23,Sains Data,2,3.23
92.04,72.8,74.83,78.03,81.16,SMA_6,Teknologi Informasi,8,3.63
85.73,73.86,80.04,84.6,81.04,SMA_45,Teknologi Informasi,4,3.19
88.7,69.46,69.38,74.59,79.1,SMA_21,Teknologi Informasi,5,3.43
85.59,72.1,83.6,76.43,82.18,SMA_43,Teknologi Informasi,8,3.48
92.83,72.48,81.35,89.05,86.87,SMA_29,Teknologi Informasi,4,3.8
83.18,81.24,69.9,79.28,93.34,SMA_17,Teknologi Informasi,1,3.39
89.95,80.74,72.61,87.91,75.72,SMA_45,Teknologi Informasi,6,3.28
82.06,66.39,76.95,88.93,79.39,SMA_20,Teknologi Informasi,7,3.29
89.07,78.92,82.52,84.16,78.39,SMA_46,Teknologi Informasi,2,3.33
83.23,71.0,70.65,73.96,77.23,SMA_43,Teknologi Informasi,3,3.05
84.49,67.28,71.84,82.68,81.66,SMA_16,Teknologi Informasi,7,3.52
85.9,80.16,82.01,83.07,84.13,SMA_5,Teknologi Informasi,6,3.32
93.39,75.73,84.77,70.58,88.67,SMA_13,Teknologi Informasi,1,3.32
90.83,78.45,67.9,83.93,82.42,SMA_14,Teknologi Informasi,8,3.08
93.69,72.44,80.58,80.72,86.17,SMA_12,Teknologi Informasi,8,3.21
85.45,72.62,76.43,83.2,86.3,SMA_4,Teknologi Informasi,1,3.26
89.11,79.96,75.57,87.14,78.29,SMA_26,Teknologi Informasi,6,3.77
89.98,71.12,72.9,81.19,86.47,SMA_35,Teknologi Informasi,1,3.16
87.44,62.31,68.12,89.42,85.36,SMA_38,Bisnis Digital,6,3.58
89.42,71.57,69.42,92.13,82.36,SMA_16,Bisnis Digital,6,3.39
75.31,72.31,61.88,76.77,81.78,SMA_7,Bisnis Digital,5,2.86
86.84,69.99,73.68,93.33,81.44,SMA_48,Bisnis Digital,1,2.92
88.46,61.96,78.84,94.75,96.91,SMA_30,Bisnis Digital,8,3.06
75.47,74.11,70.57,78.24,82.35,SMA_4,Bisnis Digital,2,3.31
83.01,77.32,77.16,76.79,90.16,SMA_30,Bisnis Digital,6,3.53
70.83,77.27,63.69,93.21,85.05,SMA_20,Bisnis Digital,8,2.87
85.25,67.0,72.02,93.56,88.04,SMA_35,Bisnis Digital,6,3.61
78.89,62.22,73.95,85.53,94.14,SMA_40,Bisnis Digital,2,3.26
85.29,64.08,70.96,77.87,91.44,SMA_26,Bisnis Digital,6,3.07
83.19,78.97,71.27,84.42,99.5,SMA_24,Bisnis Digital,7,3.63
82.51,74.27,76.04,94.23,81.19,SMA_30,Bisnis Digital,4,3.21
82.21,77.85,63.93,77.53,91.86,SMA_35,Bisnis Digital,3,2.85
79.05,70.89,69.29,80.77,90.41,SMA_25,Bisnis Digital,2,3.49
77.68,60.64,75.69,84.65,87.72,SMA_41,Bisnis Digital,5,3.47
77.03,70.28,78.22,94.31,84.79,SMA_26,Bisnis Digital,4,3.12
74.9,67.67,60.54,80.81,95.44,SMA_40,Bisnis Digital,7,3.6
